sourcetitle-abbrev,citation_title,language,category,year
Adv. Mater. Interfaces,screening homo- hetero-dual atom anchored graphdiyne boosting electrochemical co2 reduction,eng,ComputationalTechnologies,2023
Adv. Mater. Interfaces,screening homo- hetero-dual atom anchored graphdiyne boosting electrochemical co2 reduction,eng,ChemicalEngineering,2023
Adv. Mater. Interfaces,screening homo- hetero-dual atom anchored graphdiyne boosting electrochemical co2 reduction,eng,MaterialsScience,2023
ACS Omega,pyrazolones potentiate colistin activity mcr-1-producing resistant bacteria: computational microbiological study,eng,ComputationalTechnologies,2023
ACS Omega,pyrazolones potentiate colistin activity mcr-1-producing resistant bacteria: computational microbiological study,eng,MedicalResearch,2023
ACS Omega,pyrazolones potentiate colistin activity mcr-1-producing resistant bacteria: computational microbiological study,eng,ChemicalEngineering,2023
ACS Omega,pyrazolones potentiate colistin activity mcr-1-producing resistant bacteria: computational microbiological study,eng,"Biotechnology,BioengineeringandLifeSciences",2023
J. Asian Archit. Build. Eng.,hospital design principle implementation: reflection practitioner thailand,eng,MedicalResearch,2023
J. Asian Archit. Build. Eng.,hospital design principle implementation: reflection practitioner thailand,eng,EducationandSocialSciences,2023
J. Asian Archit. Build. Eng.,hospital design principle implementation: reflection practitioner thailand,eng,HealthandWellness,2023
Vet. Q.,development characterization mouse anti-canine pd-l1 monoclonal antibody expression canine tumor immunohistochemistry vitro,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Vet. Q.,development characterization mouse anti-canine pd-l1 monoclonal antibody expression canine tumor immunohistochemistry vitro,eng,MedicalResearch,2023
Vet. Q.,development characterization mouse anti-canine pd-l1 monoclonal antibody expression canine tumor immunohistochemistry vitro,eng,HealthandWellness,2023
J. Intervent. Card. Electrophysiol.,ablation apparently idiopathic ventricular arrhythmia atypical epicardial site origin: take look outside,eng,MedicalResearch,2023
J. Intervent. Card. Electrophysiol.,ablation apparently idiopathic ventricular arrhythmia atypical epicardial site origin: take look outside,eng,HealthandWellness,2023
Arch. Virol.,development simplified cost-effective sample preparation method genotyping human papillomavirus next-generation sequencing,eng,MedicalResearch,2023
Arch. Virol.,development simplified cost-effective sample preparation method genotyping human papillomavirus next-generation sequencing,eng,"Biotechnology,BioengineeringandLifeSciences",2023
J. Water Process Eng.,"initial stage innovative cell-entrapped biofilter start-up removal manganese water: treatment performance, manganese speciation, microbial community",eng,"Biotechnology,BioengineeringandLifeSciences",2023
J. Water Process Eng.,"initial stage innovative cell-entrapped biofilter start-up removal manganese water: treatment performance, manganese speciation, microbial community",eng,AgricultureandFoodScience,2023
J. Water Process Eng.,"initial stage innovative cell-entrapped biofilter start-up removal manganese water: treatment performance, manganese speciation, microbial community",eng,EnvironmentalScience,2023
J. Water Process Eng.,"initial stage innovative cell-entrapped biofilter start-up removal manganese water: treatment performance, manganese speciation, microbial community",eng,ChemicalEngineering,2023
Semin. Dialysis,dialyzer reprocessing: consideration pitfall effective safe hemodialysis,eng,MedicalResearch,2023
Semin. Dialysis,dialyzer reprocessing: consideration pitfall effective safe hemodialysis,eng,HealthandWellness,2023
Semin. Dialysis,dialyzer reprocessing: consideration pitfall effective safe hemodialysis,eng,EnvironmentalScience,2023
Semin. Dialysis,dialyzer reprocessing: consideration pitfall effective safe hemodialysis,eng,EnvironmentalPolicyandGovernance,2023
Biotechnol. Rep.,therapeutic efficacy plant-produced nivolumab transgenic c57bl/6-hpd-1 mouse implanted mc38 colon cancer,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Biotechnol. Rep.,therapeutic efficacy plant-produced nivolumab transgenic c57bl/6-hpd-1 mouse implanted mc38 colon cancer,eng,MedicalResearch,2023
Biotechnol. Rep.,therapeutic efficacy plant-produced nivolumab transgenic c57bl/6-hpd-1 mouse implanted mc38 colon cancer,eng,HealthandWellness,2023
Sci. Rep.,ideal cardiovascular health all-cause cardiovascular mortality longitudinal study thai national health examination survey iv v,eng,HealthandWellness,2023
Sci. Rep.,ideal cardiovascular health all-cause cardiovascular mortality longitudinal study thai national health examination survey iv v,eng,MedicalResearch,2023
Agric.,drone help smallholder farmer improve agriculture efficiency reduce food insecurity sub-saharan africa? local perception malawi,eng,AgricultureandFoodScience,2023
Agric.,drone help smallholder farmer improve agriculture efficiency reduce food insecurity sub-saharan africa? local perception malawi,eng,EnvironmentalScience,2023
Agric.,drone help smallholder farmer improve agriculture efficiency reduce food insecurity sub-saharan africa? local perception malawi,eng,RenewableEnergy,2023
Agric.,drone help smallholder farmer improve agriculture efficiency reduce food insecurity sub-saharan africa? local perception malawi,eng,HealthandWellness,2023
Agric.,drone help smallholder farmer improve agriculture efficiency reduce food insecurity sub-saharan africa? local perception malawi,eng,EnvironmentalPolicyandGovernance,2023
Microbes Environ.,characterization lactic acid bacteria fermented fish (pla-paeng-daeng) cholesterol-lowering immunomodulatory effect,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Microbes Environ.,characterization lactic acid bacteria fermented fish (pla-paeng-daeng) cholesterol-lowering immunomodulatory effect,eng,HealthandWellness,2023
Microbes Environ.,characterization lactic acid bacteria fermented fish (pla-paeng-daeng) cholesterol-lowering immunomodulatory effect,eng,AgricultureandFoodScience,2023
Contraception X,"knowledge, attitude, intended practice abortion among medical student thailand amendment thai abortion law",eng,MedicalResearch,2023
Contraception X,"knowledge, attitude, intended practice abortion among medical student thailand amendment thai abortion law",eng,HealthandWellness,2023
Contraception X,"knowledge, attitude, intended practice abortion among medical student thailand amendment thai abortion law",eng,EducationandSocialSciences,2023
Transp. Res. Interdiscip. Perspect.,meta-analytic review association built environment integrated usage rail transport bike-sharing,eng,EnvironmentalScience,2023
Transp. Res. Interdiscip. Perspect.,meta-analytic review association built environment integrated usage rail transport bike-sharing,eng,TransportationandUrbanStudies,2023
Transp. Res. Interdiscip. Perspect.,meta-analytic review association built environment integrated usage rail transport bike-sharing,eng,EducationandSocialSciences,2023
Nutrients,"effect multispecies synbiotic supplementation body composition, antioxidant status, gut microbiomes overweight obese subjects: randomized, double-blind, placebo-controlled study",eng,MedicalResearch,2023
Nutrients,"effect multispecies synbiotic supplementation body composition, antioxidant status, gut microbiomes overweight obese subjects: randomized, double-blind, placebo-controlled study",eng,"Biotechnology,BioengineeringandLifeSciences",2023
Nutrients,"effect multispecies synbiotic supplementation body composition, antioxidant status, gut microbiomes overweight obese subjects: randomized, double-blind, placebo-controlled study",eng,HealthandWellness,2023
Front. Earth Sci.,"seismic site classification nakhon nayok city, central thailand, using masw technique",eng,EnvironmentalScience,2023
Front. Earth Sci.,"seismic site classification nakhon nayok city, central thailand, using masw technique",eng,Physics,2023
Front. Earth Sci.,"seismic site classification nakhon nayok city, central thailand, using masw technique",eng,EngineeringandTechnology,2023
PACE Pacing Clin. Electrophysiol.,reverse left ventricular remodeling heart failure patient left bundle branch area pacing: systematic review meta-analysis,eng,MedicalResearch,2023
PACE Pacing Clin. Electrophysiol.,reverse left ventricular remodeling heart failure patient left bundle branch area pacing: systematic review meta-analysis,eng,HealthandWellness,2023
Trends Sci.,status level total mercury (t-hg) barracuda (sphyraena putnamae) gulf thailand,eng,EnvironmentalScience,2023
Trends Sci.,status level total mercury (t-hg) barracuda (sphyraena putnamae) gulf thailand,eng,HealthandWellness,2023
Trends Sci.,status level total mercury (t-hg) barracuda (sphyraena putnamae) gulf thailand,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Trends Sci.,status level total mercury (t-hg) barracuda (sphyraena putnamae) gulf thailand,eng,EcologyandConservation,2023
Trends Sci.,status level total mercury (t-hg) barracuda (sphyraena putnamae) gulf thailand,eng,FoodScience,2023
Ocul. Immunol. Inflamm.,intracameral gnathostomiasis: case report literature review,eng,MedicalResearch,2023
Ocul. Immunol. Inflamm.,intracameral gnathostomiasis: case report literature review,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Int. J. Vet. Sci. Med.,assessment left atrial myocardial deformation using two-dimensional speckle-tracking echocardiography cat cardiogenic non-cardiogenic arterial thromboembolism,eng,MedicalResearch,2023
Int. J. Vet. Sci. Med.,assessment left atrial myocardial deformation using two-dimensional speckle-tracking echocardiography cat cardiogenic non-cardiogenic arterial thromboembolism,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Int. J. Vet. Sci. Med.,assessment left atrial myocardial deformation using two-dimensional speckle-tracking echocardiography cat cardiogenic non-cardiogenic arterial thromboembolism,eng,HealthandWellness,2023
Radiol. Case Rep.,unusual cause high-output heart failure iliac arteriovenous fistula lumbar discectomy: case report,eng,MedicalResearch,2023
Radiol. Case Rep.,unusual cause high-output heart failure iliac arteriovenous fistula lumbar discectomy: case report,eng,HealthandWellness,2023
Journal of Child Science,"association medium use executive dysfunction among preschool child bangkok, thailand",eng,EducationandSocialSciences,2023
Journal of Child Science,"association medium use executive dysfunction among preschool child bangkok, thailand",eng,HealthandWellness,2023
Taxon,global phylogeny grammitid fern (polypodiaceae) systematic implication,eng,EcologyandConservation,2023
Taxon,global phylogeny grammitid fern (polypodiaceae) systematic implication,eng,EnvironmentalScience,2023
Taxon,global phylogeny grammitid fern (polypodiaceae) systematic implication,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Nanoscale,erratum: tailoring mof structure via ligand optimization afforded dandelion flower like cos/co-nx/coni/nis catalyst enhance orr/oer zinc-air battery (nanoscale (2022) 14 (17908-17920) doi: 10.1039/d2nr04933c),eng,MaterialsScience,2023
Nanoscale,erratum: tailoring mof structure via ligand optimization afforded dandelion flower like cos/co-nx/coni/nis catalyst enhance orr/oer zinc-air battery (nanoscale (2022) 14 (17908-17920) doi: 10.1039/d2nr04933c),eng,"Biotechnology,BioengineeringandLifeSciences",2023
Nanoscale,erratum: tailoring mof structure via ligand optimization afforded dandelion flower like cos/co-nx/coni/nis catalyst enhance orr/oer zinc-air battery (nanoscale (2022) 14 (17908-17920) doi: 10.1039/d2nr04933c),eng,Physics,2023
Nanoscale,erratum: tailoring mof structure via ligand optimization afforded dandelion flower like cos/co-nx/coni/nis catalyst enhance orr/oer zinc-air battery (nanoscale (2022) 14 (17908-17920) doi: 10.1039/d2nr04933c),eng,RenewableEnergy,2023
Int. J. Struct. Stab. Dyn.,impact porosity elastic foundation frequency buckling response bidirectional functionally graded piezoelectric porous plate,eng,MaterialsScience,2023
Int. J. Struct. Stab. Dyn.,impact porosity elastic foundation frequency buckling response bidirectional functionally graded piezoelectric porous plate,eng,Physics,2023
Int. J. Struct. Stab. Dyn.,impact porosity elastic foundation frequency buckling response bidirectional functionally graded piezoelectric porous plate,eng,ComputationalTechnologies,2023
Int. J. Struct. Stab. Dyn.,impact porosity elastic foundation frequency buckling response bidirectional functionally graded piezoelectric porous plate,eng,Nanotechnology,2023
J Mol Liq,aqueous solution chiral ionic liquid based (–)-menthol: experimental computational study volumetric transport property,eng,ChemicalEngineering,2023
J Mol Liq,aqueous solution chiral ionic liquid based (–)-menthol: experimental computational study volumetric transport property,eng,MaterialsScience,2023
J Mol Liq,aqueous solution chiral ionic liquid based (–)-menthol: experimental computational study volumetric transport property,eng,ComputationalTechnologies,2023
J Mol Liq,aqueous solution chiral ionic liquid based (–)-menthol: experimental computational study volumetric transport property,eng,RenewableEnergy,2023
Appl Therm Eng,modeling local interfacial area concentration adiabatic boiling bubbly flow,eng,ComputationalTechnologies,2023
Appl Therm Eng,modeling local interfacial area concentration adiabatic boiling bubbly flow,eng,ChemicalEngineering,2023
Appl Therm Eng,modeling local interfacial area concentration adiabatic boiling bubbly flow,eng,Physics,2023
Polym.,chitosan oligosaccharide promotes junction barrier modulation pi3k/akt erk signaling intricate interplay t84 cell,eng,MedicalResearch,2023
Polym.,chitosan oligosaccharide promotes junction barrier modulation pi3k/akt erk signaling intricate interplay t84 cell,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Polym.,chitosan oligosaccharide promotes junction barrier modulation pi3k/akt erk signaling intricate interplay t84 cell,eng,HealthandWellness,2023
Contemp. Edu. Tech.,enhancing reading capability young thai student augmented reality technology: design-based research,eng,EducationandSocialSciences,2023
Sci. Rep.,dynamic fatty acid non-volatile polar metabolite profile colostrum milk depending lactation stage parity number sow,eng,AgricultureandFoodScience,2023
Sci. Rep.,dynamic fatty acid non-volatile polar metabolite profile colostrum milk depending lactation stage parity number sow,eng,HealthandWellness,2023
Sci. Rep.,dynamic fatty acid non-volatile polar metabolite profile colostrum milk depending lactation stage parity number sow,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Radiat. Meas.,fast scintillating ce3+ doped gadolinium aluminum fluoroborate glass calorimetry proton ct prototype: preliminary work,eng,MaterialsScience,2023
Radiat. Meas.,fast scintillating ce3+ doped gadolinium aluminum fluoroborate glass calorimetry proton ct prototype: preliminary work,eng,MedicalResearch,2023
Radiat. Meas.,fast scintillating ce3+ doped gadolinium aluminum fluoroborate glass calorimetry proton ct prototype: preliminary work,eng,Physics,2023
Radiat. Meas.,fast scintillating ce3+ doped gadolinium aluminum fluoroborate glass calorimetry proton ct prototype: preliminary work,eng,Nanotechnology,2023
Life Sci.,vericiguat preserved cardiac function mitochondrial quality rat model mitral regurgitation,eng,MedicalResearch,2023
Life Sci.,vericiguat preserved cardiac function mitochondrial quality rat model mitral regurgitation,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Life Sci.,vericiguat preserved cardiac function mitochondrial quality rat model mitral regurgitation,eng,HealthandWellness,2023
Front. Surg.,deep vein thrombosis screening pediatric orthopedic patient,eng,MedicalResearch,2023
Front. Surg.,deep vein thrombosis screening pediatric orthopedic patient,eng,HealthandWellness,2023
Int. J. GEOMATE,examination value historical cultural heritage located urban area environmental resource,eng,EnvironmentalScience,2023
Int. J. GEOMATE,examination value historical cultural heritage located urban area environmental resource,eng,EnvironmentalPolicyandGovernance,2023
Int. J. GEOMATE,examination value historical cultural heritage located urban area environmental resource,eng,EcologyandConservation,2023
Neurosurg. Clin. North Am.,minimally invasive transforaminal lumbar interbody fusion: strategy creating lordosis posterior approach,eng,MedicalResearch,2023
Neurosurg. Clin. North Am.,minimally invasive transforaminal lumbar interbody fusion: strategy creating lordosis posterior approach,eng,HealthandWellness,2023
Geomech. Geoengineering,numerical investigation impact excavation influence zone existing mrt tunnel,eng,ChemicalEngineering,2023
Geomech. Geoengineering,numerical investigation impact excavation influence zone existing mrt tunnel,eng,ComputationalTechnologies,2023
Geomech. Geoengineering,numerical investigation impact excavation influence zone existing mrt tunnel,eng,Physics,2023
Geomech. Geoengineering,numerical investigation impact excavation influence zone existing mrt tunnel,eng,EcologyandConservation,2023
Chem. Biodiversity,possibility apply strontium aluminate produce light-emitting plants: efficiency safety,eng,MaterialsScience,2023
Chem. Biodiversity,possibility apply strontium aluminate produce light-emitting plants: efficiency safety,eng,"Biotechnology,BioengineeringandLifeSciences",2023
Chem. Biodiversity,possibility apply strontium aluminate produce light-emitting plants: efficiency safety,eng,EnvironmentalScience,2023
